"","workerid","proliferate.condition","correct_answer","num_fails","response","trial_time_in_seconds","trial_type","error"
"1",96,"pedagogical-2","Patricia",0,"['Patricia']",10.552,"botcaptcha",""
"2",96,"pedagogical-2","shadow",0,"['shadow']",13.409,"sound_response",""
"3",116,"pedagogical-2","Sarah",0,"['Sarah']",5.671,"botcaptcha",""
"4",116,"pedagogical-2","shadow",0,"['Shadow']",14.37,"sound_response",""
"5",112,"pedagogical-2","Jennifer",0,"['Jennifer']",10.876,"botcaptcha",""
"6",112,"pedagogical-2","tiger",0,"['tiger']",7.205,"sound_response",""
"7",128,"pedagogical-2","Linda",0,"['Linda']",14.122,"botcaptcha",""
"8",128,"pedagogical-2","shadow",0,"['shadow']",14.027,"sound_response",""
"9",64,"pedagogical-2","Jennifer",0,"['Jennifer']",16.073,"botcaptcha",""
"10",64,"pedagogical-2","shadow",0,"['shadow']",12.092,"sound_response",""
"11",100,"pedagogical-2","Margaret",0,"['Margaret']",12.568,"botcaptcha",""
"12",100,"pedagogical-2","tiger",0,"['tiger']",12.977,"sound_response",""
"13",88,"pedagogical-2","Patricia",0,"['Patricia']",9.303,"botcaptcha",""
"14",88,"pedagogical-2","shadow",0,"['shadow']",12.389,"sound_response",""
"15",52,"pedagogical-2","Jessica",0,"['Jessica']",13.936,"botcaptcha",""
"16",52,"pedagogical-2","shadow",0,"['Shadow']",25.513,"sound_response",""
"17",56,"pedagogical-2","Jennifer",0,"['Jennifer']",9.25,"botcaptcha",""
"18",56,"pedagogical-2","shadow",0,"['Shadow']",19.398,"sound_response",""
"19",72,"pedagogical-2","Sarah",0,"['Sarah']",9.392,"botcaptcha",""
"20",72,"pedagogical-2","shadow",0,"['shadow']",10.859,"sound_response",""
"21",80,"pedagogical-2","Barbara",0,"['Barbara']",81.11,"botcaptcha",""
"22",80,"pedagogical-2","tiger",0,"['Tiger']",87.918,"sound_response",""
"23",120,"pedagogical-2","Susan",0,"['Susan']",8.142,"botcaptcha",""
"24",120,"pedagogical-2","shadow",1,"['Shadow ', 'Shadow']",16.478,"sound_response",""
"25",92,"pedagogical-2","Sarah",0,"['sarah']",9.991,"botcaptcha",""
"26",92,"pedagogical-2","tiger",0,"['tiger']",12.062,"sound_response",""
"27",60,"pedagogical-2","Margaret",0,"['Margaret']",15.453,"botcaptcha",""
"28",60,"pedagogical-2","tiger",0,"['Tiger']",18.415,"sound_response",""
"29",108,"pedagogical-2","Susan",0,"['Susan']",39.334,"botcaptcha",""
"30",108,"pedagogical-2","shadow",0,"['Shadow']",32.101,"sound_response",""
"31",76,"pedagogical-2","Mary",0,"['Mary']",5.586,"botcaptcha",""
"32",76,"pedagogical-2","tiger",0,"['Tiger']",7.628,"sound_response",""
"33",104,"pedagogical-2","Jennifer",0,"['Jennifer']",4.968,"botcaptcha",""
"34",104,"pedagogical-2","shadow",0,"['shadow']",4.851,"sound_response",""
"35",84,"pedagogical-2","Mary",0,"['mary']",7.99,"botcaptcha",""
"36",84,"pedagogical-2","tiger",0,"['tiger']",15.178,"sound_response",""
"37",124,"pedagogical-2","Jennifer",0,"['Jennifer']",11.653,"botcaptcha",""
"38",124,"pedagogical-2","tiger",0,"['Tiger']",15.196,"sound_response",""
"39",67,"naive-2","Barbara",0,"['Barbara']",10.005,"botcaptcha",""
"40",67,"naive-2","shadow",0,"['shadow']",7.582,"sound_response",""
"41",99,"naive-2","Jessica",0,"['Jessica']",17.346,"botcaptcha",""
"42",99,"naive-2","shadow",0,"['Shadow']",25.415,"sound_response",""
"43",126,"naive-2","Sarah",0,"['Sarah']",7.539,"botcaptcha",""
"44",126,"naive-2","tiger",0,"['tiger']",8.428,"sound_response",""
"45",89,"naive-2","Sarah",0,"['Sarah']",9.032,"botcaptcha",""
"46",89,"naive-2","tiger",0,"['tiger']",20.509,"sound_response",""
"47",123,"naive-2","Barbara",0,"['Barbara']",6.897,"botcaptcha",""
"48",123,"naive-2","tiger",0,"['tiger']",11.456,"sound_response",""
"49",51,"naive-2","Elizabeth",0,"['Elizabeth']",9.97,"botcaptcha",""
"50",51,"naive-2","shadow",0,"['Shadow']",13.695,"sound_response",""
"51",71,"naive-2","Elizabeth",0,"['Elizabeth']",59.495,"botcaptcha",""
"52",71,"naive-2","shadow",0,"['shadow']",35.506,"sound_response",""
"53",87,"naive-2","Mary",0,"['Mary']",4.538,"botcaptcha",""
"54",87,"naive-2","shadow",0,"['shadow']",225.154,"sound_response",""
"55",103,"naive-2","Elizabeth",0,"['Elizabeth']",9.786,"botcaptcha",""
"56",103,"naive-2","shadow",0,"['Shadow']",18.413,"sound_response",""
"57",82,"naive-2","Linda",0,"['Linda']",37.439,"botcaptcha",""
"58",82,"naive-2","shadow",0,"['Shadow']",111.09,"sound_response",""
"59",63,"naive-2","Jessica",0,"['Jessica']",5.951,"botcaptcha",""
"60",63,"naive-2","tiger",0,"['tiger']",8.785,"sound_response",""
"61",59,"naive-2","Barbara",0,"['barbara']",13.98,"botcaptcha",""
"62",59,"naive-2","tiger",0,"['tiger']",30.792,"sound_response",""
"63",118,"naive-2","Susan",0,"['Susan']",9.614,"botcaptcha",""
"64",118,"naive-2","tiger",0,"['tiger']",15.441,"sound_response",""
"65",55,"naive-2","Susan",0,"['Susan']",6.903,"botcaptcha",""
"66",55,"naive-2","shadow",0,"['shadow']",36.751,"sound_response",""
"67",105,"naive-2","Margaret",0,"['Margaret']",8.792,"botcaptcha",""
"68",105,"naive-2","tiger",0,"['Tiger']",19.239,"sound_response",""
"69",115,"naive-2","Elizabeth",0,"['Elizabeth']",9.477,"botcaptcha",""
"70",115,"naive-2","tiger",0,"['tiger']",7.731,"sound_response",""
"71",79,"naive-2","Sarah",0,"['Sarah']",13.216,"botcaptcha",""
"72",79,"naive-2","tiger",0,"['tiger']",9.126,"sound_response",""
"73",94,"naive-2","Linda",0,"['Linda']",9.097,"botcaptcha",""
"74",94,"naive-2","tiger",0,"['Tiger']",20.026,"sound_response",""
"75",74,"naive-2","Susan",0,"['Susan']",15.117,"botcaptcha",""
"76",74,"naive-2","shadow",0,"['Shadow']",35.379,"sound_response",""
"77",111,"naive-2","Susan",1,"['NO idea', 'Susan']",34.607,"botcaptcha",""
"78",111,"naive-2","tiger",1,"['skyscraper', 'Tiger']",48.59,"sound_response",""
"79",119,"naive-1","Linda",0,"['Linda']",8.861,"botcaptcha",""
"80",119,"naive-1","shadow",0,"['shadow']",31.562,"sound_response",""
"81",98,"naive-1","Mary",0,"['Mary']",24.745,"botcaptcha",""
"82",98,"naive-1","tiger",0,"['tiger']",42.309,"sound_response",""
"83",83,"naive-1","Barbara",0,"['Barbara']",8.28,"botcaptcha",""
"84",83,"naive-1","tiger",0,"['tiger']",21.317,"sound_response",""
"85",91,"naive-1","Jessica",0,"['Jessica']",8.015,"botcaptcha",""
"86",91,"naive-1","shadow",0,"['shadow']",18.221,"sound_response",""
"87",54,"naive-1","Sarah",0,"['Sarah']",161.273,"botcaptcha",""
"88",54,"naive-1","tiger",0,"['Tiger']",37.424,"sound_response",""
"89",114,"naive-1","Susan",0,"['Susan']",16.083,"botcaptcha",""
"90",114,"naive-1","shadow",0,"['shadow']",30.01,"sound_response",""
"91",95,"naive-1","Jennifer",0,"['Jennifer']",6.352,"botcaptcha",""
"92",95,"naive-1","tiger",0,"['tiger']",5.142,"sound_response",""
"93",62,"naive-1","Margaret",0,"['Margaret']",7.536,"botcaptcha",""
"94",62,"naive-1","tiger",0,"['tiger']",7.734,"sound_response",""
"95",110,"naive-1","Susan",0,"['Susan']",17.599,"botcaptcha",""
"96",110,"naive-1","shadow",0,"['shadow']",55.023,"sound_response",""
"97",78,"naive-1","Barbara",0,"['Barbara']",9.274,"botcaptcha",""
"98",78,"naive-1","tiger",0,"['tiger']",11.107,"sound_response",""
"99",70,"naive-1","Jessica",0,"['Jessica']",12.999,"botcaptcha",""
"100",70,"naive-1","shadow",0,"['Shadow']",75.507,"sound_response",""
"101",122,"naive-1","Margaret",0,"['Margaret']",33.973,"botcaptcha",""
"102",122,"naive-1","tiger",0,"['tiger']",10.568,"sound_response",""
"103",86,"naive-1","Linda",0,"['Linda']",12.304,"botcaptcha",""
"104",86,"naive-1","shadow",1,"['Shadow ', 'shadow']",100.405,"sound_response",""
"105",107,"naive-1","Patricia",0,"['patricia']",6.946,"botcaptcha",""
"106",107,"naive-1","shadow",0,"['shadow']",11.693,"sound_response",""
"107",50,"naive-1","Mary",0,"['Mary']",6.371,"botcaptcha",""
"108",50,"naive-1","tiger",0,"['Tiger']",10.916,"sound_response",""
"109",58,"naive-1","Margaret",0,"['Margaret']",22.39,"botcaptcha",""
"110",58,"naive-1","tiger",0,"['tiger']",116.023,"sound_response",""
"111",66,"naive-1","Elizabeth",0,"['Elizabeth']",10.649,"botcaptcha",""
"112",66,"naive-1","shadow",0,"['shadow']",25.02,"sound_response",""
"113",75,"naive-1","Barbara",0,"['Barbara']",13.404,"botcaptcha",""
"114",75,"naive-1","shadow",0,"['shadow']",63.437,"sound_response",""
"115",36,"accidental-1","",NA,"",NA,"","Field catch_trials not present for participant!"
