workerid,proliferate.condition,agent,botcaptcha_correct_answer,botcaptcha_duration,botcaptcha_n_fails,botcaptcha_response,character_arrival_correct_answer,character_arrival_duration,character_arrival_is_correct,character_arrival_response,followup_fails,freeform_followup_correct_answer,freeform_followup_duration,freeform_followup_is_correct,freeform_followup_response,generic_endorsement_correct_answer,generic_endorsement_duration,generic_endorsement_is_correct,generic_endorsement_response,item_name,item_presentation_condition,n_examples,name_identification_correct_answer,name_identification_duration,name_identification_is_correct,name_identification_response,object,object_images,perceived_character_knowledge_correct_answer,perceived_character_knowledge_duration,perceived_character_knowledge_is_correct,perceived_character_knowledge_response,predicted_probability_correct_answer,predicted_probability_duration,predicted_probability_is_correct,predicted_probability_response,property,sound_check_correct_answer,sound_check_duration,sound_check_is_correct,sound_check_response,speaker,total_time_taken,error
756,pedagogical-2,Tiger,Susan,6.253,0,['Susan'],been_while,29.238,True,been_while,0,NA,41.276,True,A tiger researcher shows us wildlife.,NA,9.147,True,yes,wug,pedagogical,2,wug,9.538,True,wug,bird,"['bird02', 'bird06']",NA,8.549,True,no,NA,17.016,True,0.56,green feathers,tiger,15.206,True,Tiger,mh,207.798,
746,pedagogical-2,Elephant,Patricia,10.53,0,['Patricia'],been_while,9.484,True,been_while,0,NA,157.061,True,"I arrived on a planet for research and came across another scientist doing the same. Apparently they have been at this location for longer than I. They kindly asked me to follow them to two plants, and called them Feps. When the species walked closer to the two plants they both bloomed, showing purple petals. The scientist seemed to know this would happen.",NA,5.532,True,yes,fep,pedagogical,2,fep,6.278,True,fep,flower,"['flower03', 'flower01']",NA,8.61,True,yes,NA,18.192,True,0.7,purple petals,tiger,18.112,True,Tiger,tg,319.969,
754,pedagogical-2,Bear,Susan,7.008,0,['Susan'],been_while,5.775,True,been_while,0,NA,38.984,True,"A ""scientist"" character introduced me to a fictional plant, indicating that it has purple petals. I was asked to evaluate my certainty about that plant having purple petals.",NA,6.088,True,yes,fep,pedagogical,2,fep,5.257,True,fep,flower,"['flower04', 'flower05']",NA,5.512,True,yes,NA,14.256,True,0.77,purple petals,shadow,35.462,False,dough,tg,245.968,
740,pedagogical-2,Sheep,Sarah,8.577,0,['Sarah'],been_while,7.534,True,been_while,0,NA,98.554,True,"In the experiment, you were being shown around by another researcher on a different planet where I was taken to see feps which had green feathers ",NA,2.749,True,yes,fep,pedagogical,2,fep,5.273,True,fep,bird,"['bird09', 'bird06']",NA,11.842,True,yes,NA,10.442,True,1,green feathers,tiger,13.492,True,Tiger,sb,249.729,
780,pedagogical-2,Bear,Sarah,6.945,0,['Sarah'],been_while,4.845,True,been_while,0,NA,37.289,True,I was shown objects on an alien planet by a researcher that was a bear. Then I was asked what the object was and if it squeaked.,NA,2.467,True,yes,dax,pedagogical,2,dax,3.012,True,dax,artifact,"['artifact04', 'artifact01']",NA,6.907,True,yes,NA,5.53,True,0.34,squeaking,shadow,21.74,True,shadow,sb,351.109,
698,pedagogical-2,Bear,Barbara,25.044,0,['Barbara'],been_while,17.034,True,been_while,0,NA,84.418,True,"In this experiment the subject was testing a product called ""Wug.""   When squeezing the Wugs they both made a squeaking sound.",NA,9.763,True,yes,wug,pedagogical,2,wug,8.596,True,wug,artifact,"['artifact03', 'artifact04']",NA,16.128,True,yes,NA,12.163,True,0.99,squeaking,shadow,42.65,True,shadow,mh,372.101,
702,pedagogical-2,Elephant,Elizabeth,5.191,0,['Elizabeth'],been_while,5.048,True,been_while,0,NA,18.36,True,A researcher who had been on the planet for a while introduced me to wugs and showed me that they squeak.,NA,2.072,True,yes,wug,pedagogical,2,wug,2.821,True,wug,artifact,"['artifact01', 'artifact02']",NA,3.854,True,yes,NA,4.196,True,0.98,squeaking,shadow,7.271,True,shadow,tg,107.63,
766,pedagogical-2,Sheep,Mary,8.269,0,['Mary'],been_while,10.132,False,just_arrived,1,NA,9.949,True,Test of memory,NA,10.716,True,yes,wug,pedagogical,2,wug,5.658,True,wug,artifact,"['artifact03', 'artifact05']",NA,7.848,True,yes,NA,9.543,True,0.48,squeaking,shadow,22.762,True,Shadow,tg,158.41,
792,pedagogical-2,Sheep,Patricia,10.331,0,['Patricia'],been_while,9.629,True,been_while,0,NA,55.914,True,"The older researchers told me she knows everything about this planet and that she has been there for a while. She showed me some daxes and when they bloomed she told me they had purple petals.
",NA,8.443,True,yes,dax,pedagogical,2,dax,6.42,True,dax,flower,"['flower01', 'flower04']",NA,17.819,True,yes,NA,10.207,True,0.52,purple petals,tiger,12.177,True,tiger,sb,206.884,
711,pedagogical-2,Bear,Jessica,12.536,1,"['Jessica ', 'Jessica']",been_while,8.014,True,been_while,0,NA,54.788,True,You go to a faraway planet to see what plants and animals are there. You meet another researcher and they tell you about wugs. ,NA,4.319,True,yes,wug,pedagogical,2,wug,11.205,True,wug,flower,"['flower05', 'flower04']",NA,7.294,True,yes,NA,12.818,True,0.84,purple petals,tiger,15.761,True,Tiger,sb,208.788,
691,pedagogical-2,Elephant,Elizabeth,5.407,0,['Elizabeth'],been_while,4.344,True,been_while,0,NA,6.688,True,showed g reen feathers on fep,NA,2.16,True,yes,fep,pedagogical,2,fep,3.649,True,fep,bird,"['bird01', 'bird06']",NA,4.679,True,no,NA,5.12,True,0.99,green feathers,shadow,7.904,True,shadow,tg,439.186,
719,pedagogical-2,Bear,Elizabeth,16.103,0,['Elizabeth'],been_while,8.915,True,been_while,0,NA,119.037,True,"A researcher(a bear thing) showed me about Wugs, a thing on an alien planet that squeaks. The whole thing left me feeling a bit confused and creeped out.",NA,3.923,True,yes,wug,pedagogical,2,wug,8.317,True,wug,artifact,"['artifact05', 'artifact01']",NA,13.703,True,yes,NA,15.275,True,0.79,squeaking,shadow,17.746,True,Shadow,sb,329.533,
733,pedagogical-2,Monkey,Mary,25.007,0,['mary'],been_while,7.796,True,been_while,0,NA,40.606,True,Another scientist showed me a fep they have green feathers.,NA,2.625,True,yes,fep,pedagogical,2,fep,3.569,True,fep,bird,"['bird09', 'bird08']",NA,7.97,True,yes,NA,7.79,True,0.84,green feathers,tiger,9.367,True,tiger,sb,163.725,
681,pedagogical-2,Tiger,Jennifer,9.167,0,['Jennifer'],been_while,8.398,True,been_while,0,NA,16.905,True,I listened to a voice recording and answered questions about it.,NA,4.142,True,yes,dax,pedagogical,2,dax,5.19,True,dax,bird,"['bird09', 'bird01']",NA,10.63,True,yes,NA,6.693,True,0.96,green feathers,shadow,14.006,True,shadow,tg,146.636,
770,pedagogical-2,Sheep,Jessica,8.793,0,['Jessica'],been_while,10.96,True,been_while,0,NA,48.26,True,"I viewed a short, poorly animated, video of a scientist making a ""fep"" squeak, and then I was asked questions about feps.",NA,3.862,True,yes,fep,pedagogical,2,fep,6.091,True,fep,artifact,"['artifact04', 'artifact03']",NA,8.983,True,yes,NA,7.356,True,0.99,squeaking,tiger,11.557,True,Tiger,sb,179.727,
695,pedagogical-2,Bear,Patricia,31.305,0,['Patricia'],been_while,32.439,False,just_arrived,1,NA,20.529,True,observation a seen,NA,3.383,True,yes,fep,pedagogical,2,fep,6.248,True,fep,flower,"['flower03', 'flower04']",NA,4.503,True,no,NA,5.666,True,0.74,purple petals,shadow,7.524,False,skyscraper,sb,385.481,
687,pedagogical-2,Tiger,Margaret,9.782,0,['Margaret'],been_while,7.51,True,been_while,0,NA,45.548,True,"I arrived on a planet and an existing researcher showed me two ""dax"" (daxes) and presented that they squeaked.",NA,3.088,True,yes,dax,pedagogical,2,dax,3.901,True,dax,artifact,"['artifact01', 'artifact03']",NA,6.133,True,yes,NA,29.033,True,0.49,squeaking,shadow,11.456,True,Shadow,sb,330.246,
729,pedagogical-2,Monkey,Sarah,7.67,0,['Sarah'],been_while,8.597,True,been_while,0,NA,18.006,True,"The monkey doing research for awhile wanted to show the daxes squeak
",NA,4.446,True,yes,dax,pedagogical,2,dax,4.464,True,dax,artifact,"['artifact05', 'artifact01']",NA,8.554,True,yes,NA,7.029,True,0.94,squeaking,shadow,8.031,True,Shadow,tg,127.882,
793,pedagogical-2,Tiger,Mary,12.805,0,['Mary'],been_while,17.572,True,been_while,0,NA,137.98,True,We arrived at a planet and met up with another researcher that was a tiger. They showed us 2 dax that squeak. ,NA,7.812,True,yes,dax,pedagogical,2,dax,7.403,True,dax,artifact,"['artifact01', 'artifact05']",NA,11.535,True,yes,NA,18.886,True,0.62,squeaking,shadow,27.567,True,shadow,sb,345.472,
774,pedagogical-2,Monkey,Sarah,9.627,0,['sarah'],been_while,9.02,True,been_while,0,NA,36.385,True,i went to a new planet to research all the life there i get there and there is already a scientist there they show me some stuff they have discovered,NA,5.123,True,yes,dax,pedagogical,2,dax,6.271,True,dax,flower,"['flower01', 'flower04']",NA,12.727,True,yes,NA,12.828,True,0.75,purple petals,shadow,12.149,True,shadow,tg,231.867,
700,pedagogical-2,Dog,Susan,9.475,0,['Susan'],been_while,10.221,True,been_while,0,NA,42.691,True,The researcher was doing work and he discovered feps which could squeak and decided to show me,NA,3.517,True,yes,fep,pedagogical,2,fep,6.381,True,fep,artifact,"['artifact04', 'artifact03']",NA,8.736,True,yes,NA,6.972,True,0.89,squeaking,shadow,15.234,True,shadow,mh,184.846,
721,pedagogical-2,Tiger,Mary,4.707,0,['Mary'],been_while,8.044,True,been_while,0,NA,31.188,True,"Creature who has been researching life on another planet shows a new arriving researcher a ""dax"" plant with purple petals.",NA,3.559,True,yes,dax,pedagogical,2,dax,4.573,True,dax,flower,"['flower05', 'flower02']",NA,13.019,True,yes,NA,5.871,True,0.5,purple petals,shadow,12.177,True,shadow,tg,157.489,
758,pedagogical-2,Tiger,Mary,5.507,0,['Mary'],been_while,5.929,True,been_while,0,NA,25.496,True,The researcher on this planet showed me two wugs with purple petals.,NA,4.101,True,yes,wug,pedagogical,2,wug,4.837,True,wug,flower,"['flower03', 'flower04']",NA,9,True,yes,NA,7.767,True,0.76,purple petals,shadow,16.579,True,shadow,sb,146.281,
786,pedagogical-2,Dog,Margaret,9.758,0,['Margaret'],been_while,6.313,True,been_while,0,NA,67.321,True,"An alien habitant showed how plants called ""wugs"" bloom into flowers with purple petals. His wording established that he has lived on the planet for a long time and is familiar that wugs have purple petals.",NA,3.373,True,yes,wug,pedagogical,2,wug,2.736,True,wug,flower,"['flower04', 'flower02']",NA,5.324,True,yes,NA,6.662,True,1,purple petals,shadow,10.549,True,shadow,mh,177.737,
742,pedagogical-2,Sheep,Jennifer,11.765,0,['Jennifer'],been_while,12.598,True,been_while,0,NA,26.086,True,"The sheep introduces self and daxes and said ""green feathers"".",NA,2.577,True,yes,dax,pedagogical,2,dax,6.375,True,dax,bird,"['bird02', 'bird06']",NA,14.947,True,yes,NA,8.764,True,0.52,green feathers,tiger,18.587,True,tiger,sb,202.975,
727,pedagogical-2,Monkey,Susan,7.591,0,['Susan'],been_while,5.351,True,been_while,0,NA,74.736,True,"I met a researcher who has been researching on the planet for a while, he knew all about the plants and objects there and told me to follow him. I followed him and he took me to a tree with two bird-like creatures on it. He said that they were wugs, and upon interacting with them I was shown that they had green feathers. Then I answered questions based on the interaction and what I knew before it started.",NA,2.246,True,yes,wug,pedagogical,2,wug,4.906,True,wug,bird,"['bird09', 'bird08']",NA,5.768,True,no,NA,5.24,True,1,green feathers,shadow,15.135,True,Shadow,mh,217.175,
725,pedagogical-2,Monkey,Sarah,7.267,0,['Sarah'],been_while,6.907,True,been_while,0,NA,28.394,True,I watched an animated video about an existing researcher showing me their findings about Feps.,NA,4.116,True,yes,fep,pedagogical,2,fep,3.399,True,fep,flower,"['flower03', 'flower04']",NA,6.465,True,yes,NA,5.872,True,1,purple petals,shadow,8.687,True,shadow,sb,133.087,
776,pedagogical-2,Dog,Susan,7.624,0,['Susan'],been_while,5.082,True,been_while,0,NA,23.758,True,An experienced researcher showed me daxes that squeaked. ,NA,3.121,True,yes,dax,pedagogical,2,dax,6.644,True,dax,artifact,"['artifact03', 'artifact05']",NA,4.432,True,yes,NA,6.16,True,0.81,squeaking,shadow,14.44,True,shadow,tg,141.522,
738,pedagogical-2,Dog,Barbara,11.264,0,['Barbara'],been_while,8.896,True,been_while,0,NA,36.936,True,A researcher who has been on this planet for a while showed me a species of plant called a wug that bloomed to have purple petals. ,NA,4.256,True,yes,wug,pedagogical,2,wug,6.047,True,wug,flower,"['flower01', 'flower05']",NA,11.522,True,yes,NA,8.893,True,0.97,purple petals,tiger,22.395,True,Tiger,sb,193.168,
731,pedagogical-2,Tiger,Jennifer,11.852,0,['Jennifer'],been_while,13.136,True,been_while,0,NA,53.758,True,I was introduced to Daxes by the researcher. He had been studying on this planet for quite some time. ,NA,3.016,True,yes,dax,pedagogical,2,dax,4.789,True,dax,bird,"['bird01', 'bird09']",NA,19.064,True,yes,NA,9.781,True,1,green feathers,tiger,10.749,True,Tiger,mh,241.315,
704,pedagogical-2,Sheep,Margaret,9.133,0,['Margaret'],been_while,7.051,True,been_while,0,NA,65.646,True,"We were met with a researcher that looked like a sheep who was going to show us around the area. He/she showed us a wug (bird-looking animal). Interestingly enough, they had green feathers though they were not green. Then we were asked what are the chances of the next wug having green feathers as well. ",NA,3.016,True,yes,wug,pedagogical,2,wug,3.545,True,wug,bird,"['bird09', 'bird08']",NA,7.004,True,no,NA,6.515,True,0.94,green feathers,tiger,6.593,True,tiger,sb,170.555,
683,pedagogical-2,Monkey,Jennifer,49.338,1,"['Elizabeth', 'Jennifer']",been_while,7.732,False,just_arrived,1,NA,111.699,True,observation a seen,NA,4.302,True,yes,dax,pedagogical,2,dax,6.386,True,dax,bird,"['bird01', 'bird02']",NA,27.973,True,no,NA,74.543,True,0.71,green feathers,shadow,3.779,False,skyscraper,mh,391.988,
760,pedagogical-2,Sheep,Sarah,4.798,0,['Sarah'],been_while,6.177,True,been_while,0,NA,30.699,True,"A sheep thing who has been doing lots of research here on earth showed me some feps, and also made them squeak",NA,2.926,True,yes,fep,pedagogical,2,fep,3.769,True,fep,artifact,"['artifact03', 'artifact01']",NA,6.342,True,no,NA,5.085,True,0.92,squeaking,tiger,7.004,True,tiger,tg,129.922,
772,pedagogical-2,Monkey,Linda,10.445,0,['Linda'],been_while,10.145,True,been_while,0,NA,34.848,True,A scientist showed me what wugs were on a different planet,NA,3.945,True,yes,wug,pedagogical,2,wug,6.033,True,wug,bird,"['bird09', 'bird01']",NA,7.514,True,yes,NA,7.995,True,0.51,green feathers,tiger,27.557,True,Tiger,mh,190.33,
677,pedagogical-2,Dog,Barbara,5.558,0,['Barbara'],been_while,5.513,True,been_while,0,NA,27.865,True,i was taken to a remote site on a faraway planet. there i was greeted by a researcher who had been there a while. they showed me wugs that squeak.,NA,1.911,True,yes,wug,pedagogical,2,wug,2.705,True,wug,artifact,"['artifact03', 'artifact04']",NA,6.208,True,yes,NA,4.288,True,0.88,squeaking,shadow,14.832,True,shadow,sb,214.49,
697,pedagogical-2,Sheep,Sarah,5.415,0,['Sarah'],been_while,6.247,True,been_while,0,NA,34.439,True,"We were introduced to fep's. The two fep's we saw had green feathers. However, it is not known if all fep's have green feathers. ",NA,5.448,True,no,fep,pedagogical,2,fep,4.866,True,fep,bird,"['bird09', 'bird08']",NA,6.756,True,no,NA,15.767,True,0.71,green feathers,shadow,11.941,True,Shadow,tg,150.027,
715,pedagogical-2,Tiger,Margaret,6.115,0,['Margaret'],been_while,5.892,True,been_while,0,NA,13.623,True,The tiger walked towards the wug and petals bloomed.,NA,3.725,True,yes,wug,pedagogical,2,wug,5.865,True,wug,flower,"['flower04', 'flower03']",NA,5.232,True,no,NA,7.578,True,0.72,purple petals,shadow,44.779,True,shadow,mh,229.683,
693,pedagogical-2,Tiger,Margaret,7.247,0,['Margaret'],been_while,6.449,True,been_while,0,NA,28.277,True,The researcher tiger was talking about the plant feps and how they have purple petals.,NA,3.384,True,yes,fep,pedagogical,2,fep,3.455,True,fep,flower,"['flower03', 'flower02']",NA,7.636,True,yes,NA,4.162,True,0.98,purple petals,tiger,9.956,True,Tiger,mh,144.315,
752,pedagogical-2,Bear,Jessica,9.886,0,['Jessica'],been_while,9.597,True,been_while,0,NA,34.701,True,There was a bear researcher that introduced me to a new bird called a fep and that they have green feathers.,NA,3.4,True,yes,fep,pedagogical,2,fep,5.873,True,fep,bird,"['bird02', 'bird08']",NA,10.75,True,yes,NA,11.116,True,0.78,green feathers,tiger,35.548,True,tiger,tg,199.281,
750,pedagogical-2,Sheep,Sarah,13.689,0,['Sarah'],been_while,9.759,True,been_while,0,NA,50.604,True,A researcher showed us a new plant fep that had purple petals ,NA,7.343,True,yes,fep,pedagogical,2,fep,5.607,True,fep,flower,"['flower05', 'flower04']",NA,12.609,True,no,NA,8.339,True,0.57,purple petals,shadow,17.379,True,shadow,tg,211.087,
782,pedagogical-2,Monkey,Margaret,2.59,0,['Margaret'],been_while,2.525,False,just_arrived,1,NA,8.303,True,Good.,NA,2.236,True,yes,fep,pedagogical,2,fep,5.374,True,fep,flower,"['flower05', 'flower04']",NA,3.207,True,yes,NA,3.179,True,0.69,purple petals,shadow,95.667,False,shado,mh,320.374,
723,pedagogical-2,Elephant,Patricia,15.693,0,['Patricia'],been_while,11.495,True,been_while,0,NA,70.76,True,There is researcher who arrived the planed for researching.,NA,6.543,True,yes,wug,pedagogical,2,wug,4.576,True,wug,artifact,"['artifact05', 'artifact03']",NA,77.287,True,no,NA,7.775,True,0.81,squeaking,tiger,36.101,True,Tiger,tg,381.654,
713,pedagogical-2,Elephant,Susan,12.668,0,['Susan'],been_while,11.899,True,been_while,0,NA,68.878,True,I am researching another planet and another researcher who already there shows me things on the planet such as the dax.,NA,5.039,True,yes,dax,pedagogical,2,dax,9.462,True,dax,bird,"['bird09', 'bird06']",NA,11.323,True,yes,NA,17.839,True,0.83,green feathers,tiger,34.897,True,tiger,mh,259.836,
784,pedagogical-2,Sheep,Elizabeth,13.855,0,['Elizabeth'],been_while,8.898,True,been_while,0,NA,64.963,True,The researcher on the alien planet is cataloguing animals and objects and introduced us to two daxes.,NA,5.646,True,yes,dax,pedagogical,2,dax,6.346,True,dax,bird,"['bird01', 'bird09']",NA,16.448,True,yes,NA,7.195,True,0.98,green feathers,shadow,19.095,True,shadow,tg,252.763,
679,pedagogical-2,Dog,Barbara,6.43,0,['Barbara'],been_while,7.138,True,been_while,0,NA,31.025,True,"I came across a fellow researcher who is there studying animals and plants and they explain what a ""wug"" is to me and how they squeak. ",NA,3.57,True,yes,wug,pedagogical,2,wug,3.293,True,wug,artifact,"['artifact05', 'artifact02']",NA,5.479,True,yes,NA,6.485,True,0.82,squeaking,shadow,8.41,True,shadow,sb,143.292,
790,pedagogical-2,Bear,Jennifer,8.916,0,['Jennifer'],been_while,8.22,True,been_while,0,NA,41.574,True,There was a new researcher that introduced daxes to me and had shown me that they squeak.,NA,4.93,True,yes,dax,pedagogical,2,dax,6.513,True,dax,artifact,"['artifact05', 'artifact02']",NA,7.692,True,yes,NA,6.348,True,1,squeaking,shadow,18.058,True,shadow,mh,202.441,
744,pedagogical-2,Monkey,Margaret,12.875,0,['Margaret'],been_while,6.993,True,been_while,0,NA,40.296,True,Another scientist in the form of a monkey has been studying the new planet for a while and he was showing me a new species called wugs. ,NA,3.238,True,no,wug,pedagogical,2,wug,4.573,True,wug,artifact,"['artifact02', 'artifact01']",NA,10.091,True,yes,NA,9.819,True,0.99,squeaking,shadow,11.664,True,shadow,tg,175.029,
768,pedagogical-2,Monkey,Barbara,8.218,0,['Barbara'],been_while,5.99,True,been_while,0,NA,49.444,True,"A strange monkey who is a researcher on an alien planet led me over to a tree to show me two ""wugs"" and told me that they had green feathers (which the wugs then displayed).",NA,4.288,True,yes,wug,pedagogical,2,wug,3.103,True,wug,bird,"['bird02', 'bird09']",NA,7.681,True,yes,NA,5.488,True,0.86,green feathers,shadow,10.748,True,Shadow,mh,181.04,
706,pedagogical-2,Sheep,Jennifer,13.291,0,['Jennifer'],been_while,8.754,True,been_while,0,NA,19.839,True,I met a researcher who showed me a species,NA,4.407,True,yes,dax,pedagogical,2,dax,5.735,True,dax,bird,"['bird01', 'bird02']",NA,9.25,True,yes,NA,8.841,True,0.89,green feathers,tiger,15.941,True,tiger,mh,176.595,
717,pedagogical-2,Sheep,Linda,7.946,0,['Linda'],been_while,8.389,True,been_while,0,NA,61.632,True,"I met a researcher on a faraway planet that looked like a sheep.  The researchers showed me Feps, which look like birds, that are animals on the planet.  I was then asked how certain I am if all Feps have green feathers.",NA,6.671,True,yes,fep,pedagogical,2,fep,5.029,True,fep,bird,"['bird06', 'bird09']",NA,10.806,True,yes,NA,12.787,True,0.49,green feathers,shadow,12.262,True,shadow,tg,207.09,
778,pedagogical-2,Tiger,Barbara,14.837,0,['Barbara'],been_while,11.477,True,been_while,0,NA,43.627,True,Someone invented a new plant on some other planet than earth called DAX,NA,4.134,True,yes,dax,pedagogical,2,dax,9.458,True,dax,flower,"['flower03', 'flower04']",NA,12.338,True,yes,NA,16.303,True,0.95,purple petals,tiger,19.047,True,Tiger,tg,327.665,
689,pedagogical-2,Tiger,Jennifer,13.749,0,['Jennifer'],been_while,7.8,True,been_while,0,NA,286.246,True,The tiger see the wug plants.,NA,4.294,True,yes,wug,pedagogical,2,wug,4.792,True,wug,flower,"['flower04', 'flower01']",NA,7.28,True,yes,NA,51.976,True,0.9,purple petals,tiger,584.596,True,Tiger,mh,1079.298,
788,pedagogical-2,Bear,Sarah,9.699,0,['Sarah'],been_while,5.922,True,been_while,0,NA,252.011,True,"was given a scenario about being a researcher on a different planet. then this weird bear dude claims he's been there for awhile and he shows me some cool plants called daxes that grow purple petals when you go near them. Then questions were asked what i just witnessed. My guess is that this study was intended to test retention or listening abilities/skills but it could very well be something subtle I have no idea about, like what kind of assumptions I'm making. Overall, weird but interesting study",NA,3.683,True,yes,dax,pedagogical,2,dax,5.059,True,dax,flower,"['flower04', 'flower03']",NA,16.157,True,yes,NA,11.359,True,0.62,purple petals,tiger,15.017,True,tiger,mh,419.724,
735,pedagogical-2,Elephant,Patricia,10.993,0,['Patricia'],been_while,6.552,True,been_while,0,NA,97.73,True,you went onto another planet and met a researcher who has been there for a while. They showed me an object from the planet called a dax and then squeaked it. then i was asked questions whether all daxes squeaked or not ,NA,3.795,True,yes,dax,pedagogical,2,dax,6.857,True,dax,artifact,"['artifact03', 'artifact01']",NA,9.079,True,yes,NA,10.85,True,0.61,squeaking,shadow,9.776,True,shadow,tg,233.293,
796,pedagogical-2,Tiger,Margaret,210.617,0,['Margaret'],been_while,2.805,False,just_arrived,1,NA,20.994,True,It is good.,NA,4.085,True,yes,fep,pedagogical,2,fep,4.602,True,fep,bird,"['bird08', 'bird02']",NA,21.5,True,yes,NA,8.637,True,0.33,green feathers,tiger,100.167,True,tiger,mh,639.79,
708,pedagogical-2,Dog,Jessica,12.169,0,['jessica'],been_while,16.897,True,been_while,0,NA,49.609,True,The researcher who has been on the site showed the new researcher how a certain species react.,NA,6.693,True,yes,dax,pedagogical,2,dax,11.031,True,dax,artifact,"['artifact01', 'artifact05']",NA,11.522,True,yes,NA,11.859,True,0.99,squeaking,tiger,18.864,True,tiger,tg,254.106,
675,pedagogical-2,Sheep,Margaret,12.661,0,['Margaret'],been_while,15.281,True,been_while,0,NA,86.72,True,"I met  with another scientist at a field site that has discovered new plants, animals and objects on a new planet. The scientist showed me Dax's and informed me that they squeak. ",NA,5.021,True,yes,dax,pedagogical,2,dax,4.712,True,dax,artifact,"['artifact05', 'artifact04']",NA,10.404,True,yes,NA,7.476,True,1,squeaking,tiger,11.038,True,Tiger,sb,257.942,
764,pedagogical-2,Monkey,Linda,8.8,0,['Linda'],been_while,36.773,True,been_while,0,NA,43.834,True,"I'm a scientist being deplyoed to a field site.  I must catalog new plants, animals and objects",NA,3.484,True,yes,dax,pedagogical,2,dax,5.592,True,dax,flower,"['flower01', 'flower03']",NA,5.77,True,no,NA,5.53,True,0.94,purple petals,shadow,10.995,True,shadow,mh,201.447,
762,pedagogical-2,Dog,Sarah,17.204,0,['Sarah'],been_while,5.426,True,been_while,0,NA,26.939,True,the dog showed that it knew the feps had purple petals,NA,2.442,True,yes,fep,pedagogical,2,fep,4.63,True,fep,flower,"['flower02', 'flower01']",NA,6.993,True,yes,NA,7.038,True,0.47,purple petals,shadow,8.741,True,shadow,tg,203.339,
748,pedagogical-2,Tiger,Jennifer,11.705,0,['jennifer'],been_while,6.581,True,been_while,0,NA,33.311,True,"intro to researcher, researchers shows you wugs, wugs display their green feathers
",NA,3.965,True,yes,wug,pedagogical,2,wug,5.747,True,wug,bird,"['bird01', 'bird08']",NA,11.091,True,yes,NA,8.354,True,0.72,green feathers,shadow,36.374,True,shadow,sb,180.397,
